Reference,SpeechId,Direction,SttLatency,length,beginOfSpeech,endOfSpeech,SttResult,TranslationLatency,length,TranslatedResult,useless,translation comment
1713454360121
,1713454356571,1,942ms,61,1713454356579,1713454364490,हेलो नमस्कार। मेरा नाम सोहन है और मैं भारत से कॉल कर रहा हूँ।,1713454365432ms,57,Hola. Mi nombre es Sohan y estoy llamando desde la India.
,1713454361533,0,1212ms,4,1713454361539,1713454363583,Hola,845ms,8,नमस्कार!
,1713454372496,0,583ms,25,1713454372506,1713454375651,Hola Sony. ¿Cómo estás? ,169ms,24,हैलो सोनी। आप कैसे हैं?
,1713454381056,1,521ms,32,1713454381056,1713454384571,मैं बहुत अच्छा हूँ। आप कैसे हैं?,1713454385092ms,27,Soy muy bueno. ¿Cómo estás?
,1713454390933,0,499ms,31,1713454390934,1713454394769,Yo estoy muy bien esta mañana. ,137ms,20,मैं आज सुबह ठीक हूं।
,1713454400011,1,496ms,44,1713454400013,1713454404536,क्या मैं जान सकता हूँ आप कहाँ से बोल रहे हो?,157ms,37,¿Puedo saber de dónde estás hablando?
,1713454410411,0,580ms,24,1713454410412,1713454413503,Estoy en Chicago iloi. ,173ms,25,मैं शिकागो में हूँ Iloi.
,1713454419214,1,555ms,46,1713454419215,1713454424657,बहुत बढ़िया मैंने सुना है यह बहुत सुंदर शहर है।,206ms,48,Impresionante he oído que es una ciudad hermosa.
,1713454431174,0,603ms,52,1713454431176,1713454436933,Si es una ciudad bastante grande y bastante metro. ,230ms,43,हाँ यह एक बहुत बड़ा शहर और काफी मेट्रो है।
,1713454445810,1,553ms,47,1713454445811,1713454451981,आज के चर्चा का विषय है धर्म आस्था और मान्यताएं।,229ms,69,El tema de la discusión de hoy es la religión la fe y las creencias.
,1713454460449,0,552ms,27,1713454460450,1713454465264,Muy bien vamos a empezar. ,154ms,26,ठीक है चलो शुरू करते हैं।
,1713454470170,1,493ms,21,1713454470171,1713454473649,आपकी जातीयता क्या है?,134ms,18,¿Cuál es tu etnia?
,1713454478490,0,515ms,20,1713454478492,1713454481734,Soy hispanoamericana,125ms,26,मैं हिस्पैनिक अमेरिकी हूं।
,1713454492491,1,370ms,3,1713454492492,1713454494332,ओके,72ms,2,Ok
,1713454497015,1,491ms,43,1713454497016,1713454502090,संयुक्त राज्य अमेरिका में संस्कृति कैसी है?,154ms,42,¿Cómo es la cultura en los Estados Unidos?
,1713454509489,0,616ms,54,1713454509490,1713454517490,La cultura en Estados Unidos es un poquito a diversa. ,177ms,34,अमेरिका में संस्कृति थोड़ी अलग है।
,1713454529694,1,565ms,68,1713454529696,1713454537533,संयुक्त राज्य अमरीका में माने जाने वाले 3 मुख्य धर्म कौन-कौन से हैं?,210ms,76,¿Cuáles son las 3 principales religiones consideradas en los Estados Unidos?
,1713454559376,0,8018ms,1312,1713454559378,1713454675733,Bueno en Estados Unidos la libertad religiosa está protegida por la constitución y y como resultado el país alberga 1:00 amplia diversidad de religiones y creencias cristianismo el protestanismo es la rama de cristianismo incluye una variedad de denominaciones como bautistas metodistas literanos presbiterianos vete constales entre otros. El catolicismo la iglesia católica romana es una de las denominaciones cristianas más grandes en Estados Unidos. La ortodoxia hay comunidades ortodoxas orientales y ortodoxas orientales en el país que incluyen a los griegos rusos coptos entre otros judaísmo. La comunidad judía en Estados Unidos es una de las más grandes fuera de Israel. Hay una variedad de Corrientes dentro del judío como el judaísmo reformista conservador y ortodoxo. El islam la población musulmana en Estados Unidos también es diversa y proviene de diferentes partes del mundo. Las comunidades ámusulmanas practican diversas interpretaciones del islam incluyendo su niñez si es sufries entre otros hinduismo hay una creciente comunidad hindú en Estados Unidos compuesta por inmigrantes de la india así como. Eh convertidos locales budismo el budismo ha ganado seguidores en Estados Unidos tanto entre inmigrantes asiáticos como entre a personas que se convierten a esa religión.,7435ms,1233,खैर संयुक्त राज्य अमेरिका में धार्मिक स्वतंत्रता संविधान द्वारा संरक्षित है और परिणामस्वरूप देश धर्मों और विश्वासों की एक विस्तृत विविधता का घर है ईसाई धर्म प्रोटेस्टेंटवाद ईसाई धर्म की शाखा है जिसमें विभिन्न प्रकार के संप्रदाय शामिल हैं जैसे कि बैपटिस्ट मेथोडिस्ट लिटेरियन प्रेस्बिटेरियन पशु चिकित्सक कॉन्स्टेल दूसरों के बीच। कैथोलिक धर्म रोमन कैथोलिक चर्च संयुक्त राज्य अमेरिका में सबसे बड़े ईसाई संप्रदायों में से एक है। रूढ़िवादी देश में पूर्वी रूढ़िवादी और पूर्वी रूढ़िवादी समुदाय हैं जिनमें अन्य यहूदी धर्म के बीच कॉप्टिक रूसी ग्रीक शामिल हैं। संयुक्त राज्य अमेरिका में यहूदी समुदाय इजरायल के बाहर सबसे बड़ा है। यहूदी के भीतर विभिन्न प्रकार की धाराएं हैं जैसे रूढ़िवादी और रूढ़िवादी सुधारवादी यहूदी धर्म। इस्लाम संयुक्त राज्य अमेरिका में मुस्लिम आबादी भी विविध है और दुनिया के विभिन्न हिस्सों से आती है। मुस्लिम समुदाय इस्लाम की विभिन्न व्याख्याओं का अभ्यास करते हैं जिसमें उनका बचपन भी शामिल है यदि वे पीड़ित हैं तो अन्य हिंदू धर्म के बीच संयुक्त राज्य अमेरिका में भारत से आप्रवासियों से बना एक बढ़ता हिंदू समुदाय है साथ ही साथ। एह स्थानीय बौद्ध धर्म को परिवर्तित करता है बौद्ध धर्म ने संयुक्त राज्य अमेरिका में एशियाई आप्रवासियों और उस धर्म में परिवर्तित होने वाले लोगों के बीच निम्नलिखित प्राप्त किया है।
,1713454675929,0,1331ms,132,1713454675931,1713454689061,Religiones además de las mencionadas anteriormente también hay comunas significativas que de seguidores en religiones como exige. ,733ms,100,धर्म ऊपर वर्णित लोगों के अलावा महत्वपूर्ण कम्यून भी हैं जो आवश्यकतानुसार धर्मों में पालन करते हैं।
