Reference,SpeechId,Direction,SttLatency,length,beginOfSpeech,endOfSpeech,SttResult,TranslationLatency,length,TranslatedResult,useless,translation comment
1713274894287
,1713274204696,1,867ms,27,1713274204702,1713274208104,क्या आप मेरी आवाज़ सकते हो?,541ms,22,Can you make my voice?
,1713274216703,0,533ms,3,1713274216704,1713274218781,Yes,227ms,3,हाँ
,1713274220786,0,410ms,32,1713274220787,1713274223982,Yeah I can make it. What hello?,1713274224392ms,39,हाँ मैं इसे बना सकता हूँ. क्या नमस्ते?
,1713274228499,1,461ms,55,1713274228501,1713274234820,नमस्ते मेरा नाम पार्था है और मैं भारत से कॉल कर रहा हूं,117ms,46,My name is Partha and I am calling from India.
,1713274229259,0,329ms,5,1713274229260,1713274231219,Hello,7ms,7,नमस्कार
,1713274232265,0,421ms,8,1713274232266,1713274234384,Near Amy,63ms,8,पास एमी।
,1713274235141,0,481ms,27,1713274235142,1713274237866,Yeah I'm ready I'm ready.,108ms,34,हाँ मैं तैयार हूँ मैं तैयार हूँ।
,1713274244980,1,385ms,11,1713274244982,1713274247260,आप कैसे हो?,53ms,12,How are you?
,1713274249104,0,370ms,42,1713274249105,1713274253579,I don't know whenever I'm fine. Thank you.,1713274253949ms,36,पता नहीं जब भी मैं ठीक हूं। धन्यवाद।
,1713274259300,1,487ms,54,1713274259301,1713274265024,आपको शायद पता होगा। आज के चर्चा का विषय है हेल्थ केयर।,1713274265511ms,66,You probably know. The topic of today's discussion is Health Care.
,1713274273625,0,399ms,17,1713274273626,1713274276178,Yes and the way.,71ms,15,हाँ और रास्ता।
,1713274281383,1,412ms,50,1713274281384,1713274285821,क्या मैं जान सकता हूँ आप यूके में कहाँ पर रहते हो?,91ms,36,Can I know where you live in the UK?
,1713274290941,0,311ms,24,1713274290943,1713274294225,I live in London in u. K,1713274294536ms,25,मैं लंदन में रहता हूं। के
,1713274299823,1,422ms,37,1713274299825,1713274303618,क्या आपका जन्म भी लंदन में ही हुआ था?,89ms,24,Were you born in London?
,1713274307904,0,457ms,28,1713274307905,1713274310660,Yeah I was going to London.,89ms,24,हाँ मैं लंदन जा रहा था।
,1713274315945,1,359ms,6,1713274315946,1713274317901,ठीक है,27ms,7,Alright
,1713274323101,1,407ms,27,1713274323103,1713274327392,क्या आप एनएचएस यूज करते हो?,75ms,19,Do you use the NHS?
,1713274331945,0,450ms,63,1713274331946,1713274336941,Oh yeah and do you then? I'm I'm a current member of the NHS.,1713274337391ms,62,हाँ और फिर आप करते हैं? मैं मैं एनएचएस का वर्तमान सदस्य हूं।
,1713274344704,1,487ms,62,1713274344706,1713274351748,क्या एनएच एस सबके लिए फ्री है या सिर्फ यूके रेजीडेंट्स के लिए?,118ms,50,Is NHS free for everyone or just for UK residents?
,1713274358179,0,432ms,26,1713274358180,1713274361623,This was the UK relevance.,79ms,29,यह ब्रिटेन की प्रासंगिकता थी।
