Reference,SpeechId,Direction,SttLatency,length,beginOfSpeech,endOfSpeech,SttResult,TranslationLatency,length,TranslatedResult,useless,translation comment
1709629400621
,1709629398928,1,405ms,46,1709629398935,1709629403888,I have worked Prasanna this side. How are you?,1709629404293ms,53,Pracowałem nad Prasanna po tej stronie. Jak się masz?
,1709629414607,0,625ms,19,1709629414609,1709629417689,Dobrze się dobrze. ,218ms,5,Good.
,1709629421964,1,468ms,39,1709629421968,1709629426844,So now the topic is travel and leisure.,101ms,38,Teraz tematem są podróże i wypoczynek.
,1709629431766,1,364ms,14,1709629431797,1709629433923,Are you ready?,27ms,14,Jesteś gotowy?
,1709629440806,0,372ms,13,1709629440809,1709629443261,Jestem gotowy,48ms,9,I'm ready
,1709629447209,1,430ms,68,1709629447211,1709629453166,Do you like travel like? Have you travelled the most part of Poland?,1709629453596ms,58,Lubicie takie podróże? Podróżował Pan w większości Polski?
,1709629456289,0,321ms,3,1709629456290,1709629458287,Tak,20ms,9,Yes I do
,1709629459286,0,722ms,80,1709629459288,1709629470538,Tak podróżowałem byłem w większości Polski zagranicą na w Słowacji w Czechach. ,156ms,73,Yes I travelled I was mostly Polish abroad in Slovakia Czech Republic.
,1709629485647,1,464ms,30,1709629485649,1709629489170,I wanted to do a river safari.,108ms,31,Chciałem zrobić safari rzeczne.
,1709629489603,1,524ms,60,1709629489604,1709629495164,I'm excited to know if the main river in Poland offers that.,136ms,74,Jestem podekscytowany aby wiedzieć czy główna rzeka w Polsce oferuje to.
,1709629506568,0,888ms,111,1709629506569,1709629518408,Myślę że tak główna rzecz w Polsce to Wisła na pewnych jej odcinkach na pewno można zrobić spływ kajak kogoś. ,220ms,116,I think that the main thing in Poland is the Vistula on some of its sections you can definitely do kayaking someone.
,1709629528849,1,473ms,60,1709629528850,1709629533925,Can I set up a camp across the banks of the vishtuula river?,136ms,51,Czy mogę założyć obóz nad brzegiem rzeki Vishtuula?
